ISO3,Country,Residence Type,Service Type,Year,Coverage,Population,Service level
IND,India,urban,Sanitation,2017,39.04021,175601045.7,Basic service
IND,India,rural,Drinking water,2017,32.92468,292661356.7,Basic service
IND,India,rural,Hygiene,2017,36.70025,326221663.4,Limited service
IND,India,urban,Hygiene,2017,16.05205,72201396.29,Limited service
IND,India,rural,Sanitation,2017,7.80278,69357495.93,Limited service
IND,India,urban,Sanitation,2017,19.36832,87117823.6,Limited service
IND,India,rural,Drinking water,2017,5.68487,50531758.9,Limited service
IND,India,urban,Drinking water,2017,3.07854,13847134.73,Limited service
IND,India,rural,Hygiene,2017,3.28839,29229914.2,No handwashing facility
IND,India,urban,Hygiene,2017,1.66788,7502050.326,No handwashing facility
IND,India,rural,Sanitation,2017,32.88165,292278835,Open defecation
IND,India,urban,Sanitation,2017,4.84589,21796575.32,Open defecation
IND,India,rural,Sanitation,2017,42.23681,375435112.3,Safely managed service
IND,India,urban,Sanitation,2017,35.2389,158502958.2,Safely managed service
IND,India,rural,Drinking water,2017,53.93281,479398709.5,Safely managed service
IND,India,rural,Drinking water,2017,0.89856,7987148.96,Surface water
IND,India,urban,Drinking water,2017,0.24361,1095760.255,Surface water
IND,India,rural,Sanitation,2017,2.78569,24761471,Unimproved
IND,India,urban,Sanitation,2017,1.50668,6776989.258,Unimproved
IND,India,rural,Drinking water,2017,6.55907,58302369.96,Unimproved
IND,India,urban,Drinking water,2017,3.16875,14252885.59,Unimproved
IND,India,urban,Drinking water,2018,93.56289,430673870.7,At least basic
IND,India,rural,Hygiene,2018,60.01136,535504220.7,Basic service
IND,India,urban,Hygiene,2018,82.28007,378738566.6,Basic service
IND,India,rural,Sanitation,2018,15.01317,133968221.8,Basic service
IND,India,urban,Sanitation,2018,39.99254,184087331.5,Basic service
IND,India,rural,Drinking water,2018,31.94716,285076666.1,Basic service
IND,India,rural,Hygiene,2018,36.70025,327490305.8,Limited service
IND,India,urban,Hygiene,2018,16.05205,73888269.34,Limited service
IND,India,rural,Sanitation,2018,7.96634,71086671.06,Limited service
IND,India,urban,Sanitation,2018,19.37465,89182320.81,Limited service
IND,India,rural,Drinking water,2018,5.75689,51370891.06,Limited service
IND,India,urban,Drinking water,2018,3.1429,14466889.46,Limited service
IND,India,rural,Hygiene,2018,3.28839,29343586.32,No handwashing facility
IND,India,urban,Hygiene,2018,1.66788,7677324.034,No handwashing facility
IND,India,rural,Sanitation,2018,29.39049,262262555.5,Open defecation
IND,India,urban,Sanitation,2018,3.55989,16386304.15,Open defecation
IND,India,rural,Sanitation,2018,44.9746,401325472.7,Safely managed service
IND,India,urban,Sanitation,2018,35.92762,165376343.3,Safely managed service
IND,India,rural,Drinking water,2018,55.55244,495715570.2,Safely managed service
IND,India,rural,Drinking water,2018,0.84534,7543335.185,Surface water
IND,India,urban,Drinking water,2018,0.24151,1111674.818,Surface water
IND,India,rural,Sanitation,2018,2.65541,23695190.94,Unimproved
IND,India,urban,Sanitation,2018,1.1453,5271860.29,Unimproved
IND,India,rural,Drinking water,2018,5.89817,52631649.52,Unimproved
IND,India,urban,Drinking water,2018,3.0527,14051712.61,Unimproved
IND,India,urban,Drinking water,2019,93.61654,440963436.6,At least basic
IND,India,rural,Hygiene,2019,60.01136,537333443.8,Basic service
IND,India,urban,Hygiene,2019,82.28007,387565071.8,Basic service
IND,India,rural,Sanitation,2019,15.73928,140927337.5,Basic service
IND,India,urban,Sanitation,2019,40.95174,192895639,Basic service
IND,India,rural,Drinking water,2019,31.03374,277871796.6,Basic service
IND,India,rural,Hygiene,2019,36.70025,328608976.4,Limited service
IND,India,urban,Hygiene,2019,16.05205,75610236.02,Limited service
IND,India,rural,Sanitation,2019,8.10051,72530833.46,Limited service
IND,India,urban,Sanitation,2019,19.36942,91236062.12,Limited service
IND,India,rural,Drinking water,2019,5.82933,52195042.6,Limited service
IND,India,urban,Drinking water,2019,3.2074,15107879.66,Limited service
IND,India,rural,Hygiene,2019,3.28839,29443820.76,No handwashing facility
IND,India,urban,Hygiene,2019,1.66788,7856244.13,No handwashing facility
IND,India,rural,Sanitation,2019,25.89933,231899078.6,Open defecation
IND,India,urban,Sanitation,2019,2.27389,10710718.6,Open defecation
IND,India,rural,Sanitation,2019,47.73576,427419405.5,Safely managed service
IND,India,urban,Sanitation,2019,36.62104,172496641.1,Safely managed service
IND,India,rural,Drinking water,2019,57.10753,511332959.5,Safely managed service
IND,India,rural,Drinking water,2019,0.79213,7092605.285,Surface water
IND,India,urban,Drinking water,2019,0.2394,1127670.501,Surface water
IND,India,rural,Sanitation,2019,2.52512,22609584.98,Unimproved
IND,India,urban,Sanitation,2019,0.78392,3692491.263,Unimproved
